#random sampling: 1000																															
Gene	JS_YC_bin_221	SD_DY_bin_343	SD_DY_bin_156	JS_YC_bin_164	JS_LYG_bin_42	SD_QD_bin_87	HN_SY_bin_61	ZJ_NB_bin_117	GD_ZH_bin_112	JS_LYG_bin_20	SD_DY_bin_7	JS_LYG_bin_19	ZJ_WZ_bin_184	GD_ZH_bin_260	SD_DY_bin_417	GX_BH_bin_82	SD_DY_bin_227	GD_ZH_bin_224	JS_LYG_bin_103	GD_ST_bin_83	ZJ_NB_bin_158	GX_BH_bin_20	ZJ_NB_bin_115	SD_DY_bin_76	ZJ_WZ_bin_243	SD_DY_bin_75	ZJ_NB_bin_129	JS_LYG_bin_132	LN_DD_bin_95	SD_DY_bin_480	SD_QD_bin_67
hdrC2	0	0	0	0	1	2	1	1	0	1	0	0	0	0	0	6	0	0	0	0	1	0	0	0	2	0	0	3	1	0	1
hdrD	0	0	0	0	0	0	0	2	1	2	0	2	0	0	0	8	0	1	0	0	4	0	1	0	2	0	4	4	1	0	2
hdrE	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
hmd	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hprA	1	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	1	0
hxlA	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
hxlB	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	1	0	0	1	0	0	0	2	0	0	1	0	0	1
mauC	6	9	7	10	0	0	0	0	0	0	9	0	10	3	6	0	7	0	0	4	0	7	2	1	0	7	4	1	0	6	0
mbhJ	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0
mbhK	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
mbhL	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
mch	0	0	0	0	2	0	1	2	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0
mcl	2	1	3	1	0	0	0	2	1	0	0	0	1	2	1	1	0	0	0	1	0	1	2	0	0	1	1	1	0	1	0
mcrA	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcrB	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcrC	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcrD	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mcrG	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mdh	1	0	0	1	0	0	0	2	1	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0
mdh-K00024	3	2	4	3	2	2	2	1	1	0	1	2	3	2	2	1	1	1	0	1	2	1	3	0	1	2	3	1	2	2	2
mer	2	0	1	2	0	0	4	0	1	1	0	1	1	2	1	0	1	1	0	1	1	1	4	0	0	2	7	0	4	2	1
metF	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	1	0	0	0
mgsA	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
mgsB	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mgsC	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	1	0	1	0	0	0	1	0	0	0	0
mmoC	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	0
mtaA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	11
mtaB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
mtaC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
mtbA	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
mtbB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
mtbC	0	1	0	0	1	0	1	1	2	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	1	0	11
mtd	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
mtdA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
mtdB	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
mtkA	2	1	2	1	0	2	0	1	0	2	0	1	1	1	1	2	0	0	1	1	0	1	2	0	0	0	1	8	1	1	0
mtkB	1	1	1	1	0	0	0	2	2	1	1	0	1	1	0	3	1	0	2	0	0	0	3	0	0	1	3	1	0	1	0
mtmB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
mtmC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
mtrA	1	1	0	0	1	0	0	0	1	3	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	2
mtrB	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mtrC	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mtrD	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
